"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","71016","TOWN OF OMRO - WINNEBAGO COUNTY","883","883","844","312"
"2020 General Election","71018","TOWN OF OSHKOSH - WINNEBAGO COUNTY","964","964","892","107"
"2020 General Election","71020","TOWN OF POYGAN - WINNEBAGO COUNTY","323","321","315","91"
"2020 General Election","71022","TOWN OF RUSHFORD - WINNEBAGO COUNTY","400","400","368","120"
"2020 General Election","71024","TOWN OF UTICA - WINNEBAGO COUNTY","300","297","275","50"
"2020 General Election","71026","TOWN OF VINLAND - WINNEBAGO COUNTY","669","668","641","203"
"2020 General Election","71028","TOWN OF WINCHESTER - WINNEBAGO COUNTY","477","473","448","137"
"2020 General Election","71030","TOWN OF WINNECONNE - WINNEBAGO COUNTY","942","927","916","411"
"2020 General Election","71032","TOWN OF WOLF RIVER - WINNEBAGO COUNTY","380","380","334","65"
"2020 General Election","71121","Village of FOX CROSSING - WINNEBAGO COUNTY","7787","7781","7387","2744"
"2020 General Election","71191","VILLAGE OF WINNECONNE - WINNEBAGO COUNTY","974","974","917","457"
"2020 General Election","71251","CITY OF MENASHA - MULTIPLE COUNTIES","5939","5932","5610","1881"
"2020 General Election","71261","CITY OF NEENAH - WINNEBAGO COUNTY","11253","11248","10742","3821"
"2020 General Election","71265","CITY OF OMRO - WINNEBAGO COUNTY","1210","1210","1164","549"
"2020 General Election","71266","CITY OF OSHKOSH - WINNEBAGO COUNTY","19301","19283","17958","3359"
"2020 General Election","72002","TOWN OF ARPIN - WOOD COUNTY","132","127","109","7"
"2020 General Election","72004","TOWN OF AUBURNDALE - WOOD COUNTY","110","110","89","0"
"2020 General Election","72006","TOWN OF CAMERON - WOOD COUNTY","75","75","62","3"
"2020 General Election","72008","TOWN OF CARY - WOOD COUNTY","82","80","70","7"
"2020 General Election","72010","TOWN OF CRANMOOR - WOOD COUNTY","27","27","26","3"
"2020 General Election","72012","TOWN OF DEXTER - WOOD COUNTY","52","51","43","4"
"2020 General Election","72014","TOWN OF GRAND RAPIDS - WOOD COUNTY","3517","3516","3405","1424"
"2020 General Election","72016","TOWN OF HANSEN - WOOD COUNTY","119","118","109","11"
"2020 General Election","72018","TOWN OF HILES - WOOD COUNTY","24","24","20","1"
"2020 General Election","72020","TOWN OF LINCOLN - WOOD COUNTY","394","384","362","36"
"2020 General Election","72022","TOWN OF MARSHFIELD - WOOD COUNTY","185","185","173","14"
